Project_Number,Project_Title,Project_Description,OIA_AREA,Round,Approval_Date,Program,Lead_Research_Institution,City,Ontario_Commitment,Total_Project_Costs,Keyword,EXPENDITURE_TYPE,First_Name,Last_Name
9738,Activity-Induced Plasticity of Inhibitory Synapses,"The facility will be unique to Canada and will allow research of the electrical and visual analysis of inhibitory synaptic plasticity at the in vitro, in situ and in vivo levels. Synaptic plasticity is the cellular basis of learning and memory, essential processes that allow animals to adapt to their ever changing environments. Understanding of the inhibitory synaptic plasticity represents a fundamental aspect of neurophysiology and is essential for the treatment of neural activity disorders such as epilepsy.",Advanced health technologies,Small Infrastructure Fund - Round 001 - 2004 - June,24-Feb-05,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$152,000","$380,000","inhibitory synaptic transmission, synaptic plasticity, learning, memory, neurobiology, electrophysiology, cell culture, hippocampal brain slice",Capital,Melanie,Woodin
9740,Facility for the Multi-Level Analysis of the Neurobiology of Respiratory Motor Control during Sleep,"This project aims to enhance our understanding of the control of motor regulation during sleep. Understanding the biological processes that control respiratory muscle activity during sleep due to the prevalence of sleep-related breathing disorders, periodic limb movement disorder, restless legs syndrome, cataplexy/narcolepsy and parasomnias. This research may lead to development of effective treatments for such disorders.",Advanced health technologies,Small Infrastructure Fund - Round 001 - 2004 - June,24-Feb-05,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$180,320","$450,800","Sleep, Respiration, Neurophysiology, Neuropharmacology, Neurotransmitters, Receptors, Brainstem, Motoneurons, Sleep Apnea, Animal Models",Capital,John,Peever
9749,Radiopharmaceutical Discovery and Development Laboratory for Translational Cancer Research,The research to be carried out is driven by the need to discover molecular imaging tools and targeted radiotherapeutic agents that could improve the non-invasive detection of cancer as well as provide novel radiation treatments for cancer to improve the poor prognosis of patients with advanced disease.,Pharmaceutical research and manufacturing,Small Infrastructure Fund - Round 001 - 2004 - June,24-Feb-05,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$168,143","$420,358","Radiopharmaceuticals, molecular imaging, targeted radiotherapy, nuclear medicine, breast cancer, leukemia, neuroblastoma, radiochemistry; translational cancer research, clinical trials",Capital,Raymond,Reilly
10522,A station for cell biological and physiological studies combining ultrafast confocal imaging with laser-trap manipulation and force measurements in a contained  and controlled environment,"The proposed research  will concentrate in two areas, which are natural extensions of the work Dr. Grinstein has performed to date.  1.  Determination of the ionic composition and membrane potential of endocytic and secretory organelles and 2. Definition of the molecular basis of phagosome formation and maturation.",Advanced health technologies,Small Infrastructure Fund - Round 003 - 2005 - February,22-Jul-05,Ontario Research Fund - Research Infrastructure,The Hospital for Sick Children,Toronto,"$544,183","$1,360,459",,Capital,Sergio,Grinstein
7970,Ensuring Performance of Geosynthetics Under Extreme Environmental Conditions,Geosynthetics are polymeric materials used in contact with soil and rock to solve geoengineering problems associated with a variety of transportation and environmental infrastructure (e.g. landfills). This internationally unique research is required to understand how geosynthetic materials behave in the long term (many decades to centuries) and under the extreme heat and cold weather conditions relevant to the Canadian climate.,Investigation of new sources,Large Infrastructure Fund - Round 001 - 2004,16-Dec-04,Ontario Research Fund - Research Infrastructure,Queen's University,Kingston,"$205,209","$1,650,121","geosynthetics, geotechnical engineering, geoenvironmental engineering, earthquake mitigation, contaminant barriers, landfills, buried utilities, retaining walls, long-term behaviour, modelling, climate change",Capital,Kerry,Rowe
7905,A Secure Mulitidisciplinary High Performance Computing Virtual Laboratory for Innovative Research.,"Provision of state-of-the-art equipment is vital and used in support of cutting edge and critically important research including; nuclear physics, astrophysics, medicine, microelectronics, materials science and nanotechnology. Infrastructure would potentially increase collaboration and sharing of computational resources on a regional and national basis.",Investigation of new sources,Large Infrastructure Fund - Round 001 - 2004,16-Dec-04,Ontario Research Fund - Research Infrastructure,Queen's University,Kingston,"$3,990,849","$49,496,033","High-Performance Computing, Applied Parallel Computing, Research Infrastructure, Photonics, Signal Processing, Materials Science, Genomics, Psychology, Economics, Nuclear Physics",Capital,Douglas,Mewhort
202370,Sensorimotor Control Laboratory: An Integrative Neuroimaging Approach to Basic Mechanisms and Implications for Stroke Recovery,"The long term objective is to improve motor function following brain injury from stroke by building a foundation, based on fundamental understanding of the neural control of movement, towards the development and implementation of evidence-based interventions.",Advanced health technologies,Small Infrastructure Fund - Round 002 - 2004 - October,24-Feb-05,Ontario Research Fund - Research Infrastructure,University of Waterloo,Waterloo,"$130,130","$378,455","motor control, neurophysiology, stroke, recovery, functional imaging",Capital,W.,Staines
202500,Sensor and Surveillance Technologies for Pavement and Construction Research,"The proposed research involves two distinct but interrelated areas: pavement surveillance and construction site modeling.  Pavement surveillance involves capturing images of road section surfaces, profile measurements, and noise measurements with an instrumented surveillance vehicle.  Construction site modeling via field research is required for conflict avoidance/safety, and quick decision response on roads and pavements, leading to higher efficiencies and cost-effectiveness in the construction industry.",Investigation of new sources,Small Infrastructure Fund - Round 003 - 2005 - February,22-Jul-05,Ontario Research Fund - Research Infrastructure,University of Waterloo,Waterloo,"$250,000","$625,000","Infrastructure technologies, construction, management",Capital,Susan,Tighe
10762,The Social Construction of Autobiographical Memory,"Successful adolescent identity formation is associated with well-being, enhanced relationships with family and peers, and a productive adult life.  A project lead by Kate McLean, at the University of Toronto at Mississauga, will analyze the connections between people's memories and sense of self by listening to their stories, usually through conversation-style interviews.  Dr. McLean and her research team will code the stories to identify trends such as whether the memories are positive or negative, or whether people define themselves through relationships or achievements.  An ORF Research Infrastructure award will fund laboratory renovations and the purchase of equipment to record and evaluate the data collected.  Dr. McLean's research will be of benefit to developmental, cognitive and social psychologists, and will help shape health policy, particularly in encouraging healthy adolescent development.",Social and cultural investigation and development,Small Infrastructure Fund - Round 005 - 2005 - October,26-Jun-06,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$20,906","$52,265",Lab renovations for studies on autobiographical memory.,Capital,Kate,McLean
10780,Household-level Urban Socio-Ecology (HOUSE) Laboratory,"Maintaining healthy urban ecosystems is a critical challenge for Canada due to current land use and population trends. Under the direction of Tenley Conway at the University of Toronto at Mississauga, the Household-level Urban Socio-Ecology (HOUSE) laboratory will collect and analyze integrated socio-ecological data from Mississauga households. The ORF Research Infrastructure award will help purchase field research equipment.  The research will be used by local and provincial government agencies to promote healthy ecosystems, and could serve to protect urban ecosystems in Ontario communities.",Bio-economy and clean technologies,Small Infrastructure Fund - Round 005 - 2005 - October,26-Jun-06,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$67,619","$169,047","Land Cover, Urban Ecology, Household Behaviour, Geographic Information Systems (GIS), Agent-Based Modelling, Survey Research, Remote Sensing, Social and Ecological Interactions, Healthy Cities, Spatial Analysis, rural",Capital,Tenley,Conway
12499,A protein interaction network of the yeast MRP-subfamily of ABC transporters,"Treatments and cures for numerous diseases may be locked in interactions among proteins being studied by biochemists, geneticists and microbiologists at the University of Toronto. Igor Stagljar, the developer of a unique process for exploring protein interactions, is leading the studies using robotic and bioinformatics equipment. The proteins in question are located in the membranes (the outer layers) of cells. These particular proteins play an important role in removing different toxins from inside the cell. Cells that are unable to remove such toxins are implicated as a cause of disease, and an understanding of this function could lead to treatments.",Advanced health technologies,Small Infrastructure Fund - Round 007 - 2006 - June,21-Dec-06,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$176,627","$442,284","proteomics, functional genomics, protein-protein interactions, high-throughput analysis, systems biology",Capital,Igor,Stagljar
12511,A Supercomputer for Numerical Simulations of Planetary Dynamos,"Physicists at the University of Toronto led by Dr. Sabine Stanley will use a new supercomputer system to model the nature of planet interiors. The system, which consists of a 32-processor shared memory computer and an external storage disk, will allow modeling of the magnetic fields of planets, providing valuable insight into planetary evolution. Researchers will use the supercomputer to simulate the processes (known as the dynamo) that generate and maintain a planet’s magnetic field. Understanding how and why a magnetic field reverses is a central theme of the work. Magnetic fields help protect planetary surfaces from cosmic rays. Understanding the way these fields work could have implications for improving the safety of air trave",Investigation of new sources,Small Infrastructure Fund - Round 007 - 2006 - June,21-Dec-06,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$100,000","$319,049","supercomputer, numerical modelling, planetary magnetic fields, dynamos, geophysical fluid dynamics, planetary physics, geophysics",Capital,Sabine,Stanley
12520,Laboratory of Metabolic Systems Engineering,"Under the leadership of Radhakrishnan Mahadevan, these studies are aimed at developing methods to manufacture novel biologically based products. The research may also reveal new methods of removing poisonous contaminants from the environment. Some of the most attractive possibilities of the research lie in potential for the environmentally sustainable manufacture of ethanol and industrial solvents as butanol, materials that come from non-renewable fossil fuels. The production of such goods from renewable domestic sources such as wood fibre could provide economic benefit to Ontario’s resource and manufacturing industrie",Advanced health technologies,Small Infrastructure Fund - Round 007 - 2006 - June,21-Dec-06,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$102,150","$255,392","metabolism, bioenergy, biofuels, nutrition, bioremediation, pharmaceuticals, bioprocess, biomedicine, evolutionary engineering, climate change",Capital,Mahadevan,Radhakrishnan
8793,"Integrated Tools for Biotechnology: Genomic, Proteomic, Metabolomic, Spectroscopic, and Computational Approaches","Upgraded infrastructure would support three strong components of the research effort in biotechnology including, Plant Biotechnology, Biotransformation/Green Chemistry and Cool Climate Oenology and Viticulture.",Pharmaceutical research and manufacturing,Large Infrastructure Fund - Round 001 - 2004,16-Dec-04,Ontario Research Fund - Research Infrastructure,Brock University,St.Catharines,"$626,086","$5,372,094","nuclear magnetic resonance, green chemistry, biocatalysis, time resolved fluorescence, electron paramagnetic resonance, microarrays, MALDI-TOF, FTIR, computation, renovation, climate change",Capital,Douglas,Bruce
9369,Psychological Trait Evolution,"This project has strong promise to generate unique insights into the distribution and abundance of species, their coevolution with predators, and the structure of ecological communities.",Advanced health technologies,Small Infrastructure Fund - Round 001 - 2004 - June,24-Feb-05,Ontario Research Fund - Research Infrastructure,Brock University,St.Catharines,"$59,990","$149,975","integrative trait analysis, adaptation, evolutionary constraints, wetland ecology, physiological ecology",Capital,Jean,Richardson
9914,Social Cognitive Neuroscience of Attitudes,"The requested infrastructure will provide the first dedicated social cognitive neuroscience laboratory in Canada and facilitate research on the affective and cognitive processes of evaluation, particularly within the context of understanding prejudice and intergroup relations.",Advanced health technologies,Small Infrastructure Fund - Round 002 - 2004 - October,24-Feb-05,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$129,929","$324,827","Social Cognitive Neuroscience, Attitudes, Evaluation, Social Cognition, Cognitive Neuroscience, Automaticity, Control, Individual Differences",Capital,Philip,Zelazo
9978,Signal transduction and networking studies in plant-pathogen interaction,The researcher will investigate the signalling pathways that induce plant resistance against diseases.  The research will have a significant impact on breeding disease resistant plants and developing new generations of pesticides.,Bio-economy and clean technologies,Small Infrastructure Fund - Round 002 - 2004 - October,24-Feb-05,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$199,950","$499,982","Plant-pathogen interaction, Molecular plant pathology, Signal transduction, Environmental stress, Cross-talk of phytohormones",Capital,Keiko,Yoshioka
9984,Creation of a Laboratory to study Causes and Consequences of Genomic Instability,"The research program seeks to identify and study factors that are components of the cellular response to DNA damage.  This research program is novel and innovative as it impacts the disciplines of pharmacology, toxicology, molecular genetics, immunology, developmental biology and oncology.",Advanced health technologies,Small Infrastructure Fund - Round 002 - 2004 - October,24-Feb-05,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$199,031","$497,828","genomic instability, DNA damage response, cancer, embryonic development, knockout mice, chromosomal karyotyping, indirect immunofluorescence, centrosome, telomere",Capital,Peter,McPherson
10087,Critical Accessories for a mass Spectrometry/Proteomics Facility at the Centre for Research in Neurodegenerative Diseases,The objective of the research is to address the need for effective diagnostics and therapies to overcome Neurodegenerative Diseases by identifying novel therapeutic targets and diagnostic markers. The research is believed to have the potential uncover new insights to a series of debilitating disorders.,Advanced health technologies,Small Infrastructure Fund - Round 002 - 2004 - October,24-Feb-05,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$41,089","$102,723","Diseases of Aging, Neurodegenerative Diseases, Mass Spectrometry, Protein Analytic, Therapeutic Targets, Diagnostic Markers",Capital,Gerold,Schmitt-Ulms
10101,Infrastructure for a Distributed Microsystems Laboratory,"The research program aims at the development of distributed microsystems for optical, fluidic and acoustic applications.  It aims at the development of micro sensors, micro actuators, and control systems for optical, fluidic and acoustical distributed microsystem applications.",Digital media and information and communications technologies,Small Infrastructure Fund - Round 002 - 2004 - October,24-Feb-05,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$107,361","$268,402","Microsystems, Micro Electromechanical Systems (MEMS), Distributed Systems, Adaptive Optics, Active Skin, Drag Reduction, Acoustics, Noise Cancellation, Nonlinear Control",Capital,Amara,Foued Ben
8145,Accelerated Discovery of Advanced Catalysts and Catalytic Processes,"The proposed infrastructure will build powerful synergies between the University of Ottawa's internationally recognized Centre for Catalysis Research and Innovation (CCRI), and the pioneering innovations of Symyx Technologies, the world leader in high throughput (HT) catalyst discovery technologies.",Investigation of new sources,Large Infrastructure Fund - Round 001 - 2004,16-Dec-04,Ontario Research Fund - Research Infrastructure,University of Ottawa,Ottawa,"$2,400,579","$19,306,758","Homogeneous Catalysis, Heterogeneous Catalysis, Asymmetric Catalysis, Environmental Catalysis, Photocatalysis, High Throughput Catalyst Synthesis, High Throughput Catalyst Screening, Nanostructured Catalytic Materials",Capital,Abdelhamid,Sayari
9048,Optimal Shape Design Laboratory,"This facility will be the first Canadian research centre concentrating on optimal shape design problems. It will be dedicated to real-world industrial problems using computational, numerical and mathematical analyses. It will deal with fuel cell optimal shape design and may further the research into optimal shape design of artificial hearts, and the shape analysis of crystal growth.",Development and creation of investigation spots,Small Infrastructure Fund - Round 001 - 2004 - June,24-Feb-05,Ontario Research Fund - Research Infrastructure,University of Ottawa,Ottawa,"$53,065","$159,094","Optimal shape design, PDEs, Numerical Analysis, fluid dynamics, high performance computation, hydrogen fuel cell",Capital,Arian,Novruzi
9583,Infrastructure for Advanced Research in Portable Non-Invasive Biomedical Monitoring Technologies,The infrastructure will be utilized for advanced research in innovative engineering aproaches for design and data analysis for non-invasive biomedical monitoring technologies.,Advanced health technologies,Small Infrastructure Fund - Round 001 - 2004 - June,24-Feb-05,Ontario Research Fund - Research Infrastructure,University of Ottawa,Ottawa,"$47,428","$130,022","Biomedical Engineering, Medical Imaging, Image processing, Non-invasive monitoring technology",Capital,Andy,Adler
9611,Canadian Integrative Facility for Ecoinformatics Research (CIFER),The research objective is to identify leading causes of extinction among species in agricultural landscapes in Ontario and to learn how to minimize human-induced degradation of ecosystem function in Canada.,Investigation of new sources,Small Infrastructure Fund - Round 001 - 2004 - June,24-Feb-05,Ontario Research Fund - Research Infrastructure,University of Ottawa,Ottawa,"$100,000","$353,544","land use change, climate change, field ecology, ecoinformatics, endangered species, remote sensing, rural, climate change",Capital,Jeremy,Kerr
9675,Improving Emergency Department Care Using Information Technology,The infrastructure will be used to establish/improve information technology for the Emergency Department. It will be one of the first emergency department electronic databases to fully intergrate nursing and physician clinical documentation and computer physician order entry in a standardized manner specifically designed for emergency department research.,Advanced health technologies,Small Infrastructure Fund - Round 001 - 2004 - June,24-Feb-05,Ontario Research Fund - Research Infrastructure,University of Ottawa,Ottawa,"$100,426","$403,668","emergency medicine, clinical decision rules, cost effective medicine,",Capital,Jeffrey,Perry
9676,Laboratory for Qualitative Research Methods in Environment and Health Geography,"The laboratory will support original applications of qualitative methods to applied research on environment and health, science-policy, evidence-based health care decision making, knowledge transfer and dissemination strategies, issues of risk perception and risk communication, and social research at local, national and international scales.",Advanced health technologies,Small Infrastructure Fund - Round 001 - 2004 - June,24-Feb-05,Ontario Research Fund - Research Infrastructure,University of Ottawa,Ottawa,"$66,958","$167,395","Qualitative Methods, Textual Analysis, NVivo, Multidisciplinary, Knowledge Transfer, Environment and Health, Health Geography, Science-Policy, Risk, Social Construction",Capital,Michelle,Driedger
10147,Infant Hearing Aid Technology Laboratory,"The Infant Hearing Aid Technology Laboratory will test babies and toddlers who have permanent hearing losses to determine the best hearing aid technologies and the best ways to prescribe and evaluate them using scientific, evidence-based approaches.",Advanced health technologies,Small Infrastructure Fund - Round 003 - 2005 - February,22-Jul-05,Ontario Research Fund - Research Infrastructure,The University of Western Ontario,London,"$70,009","$175,069","Hearing Loss, Hearing Aids, Infant, Child, Speech Acoustics, Hearing Tests, Speech Perception, Sound Spectography, Audiometry, Evoked Potentials",Capital,Susan,Scollie
10154,Laboratory for the study of Radiation Induced Chemical Processes and Transport.,"To establish a laboratory for studies of the complex chemical processes occurring in ionization radiation environments that are relevant to nuclear reactor safety and nuclear materials integrity. These studies combining radiation with materials degradation, are challenging and performed by very few laboratories worldwide.",Development and creation of investigation spots,Small Infrastructure Fund - Round 002 - 2004 - October,24-Feb-05,Ontario Research Fund - Research Infrastructure,The University of Western Ontario,London,"$295,035","$737,588","Nuclear energy, Chemical Kinetics, Radiation Induced Chemical Processes and Transport, Water Radiolysis, Redox Chemistry, Materials Degradation, Radioiodine Chemistry, Charcoal Filter Abatement, Full-system Modeling",Capital,Jungsook,Wren
10196,Mechanisms of Neurodegneration in Alzheimer's Disease and Neuronal Injury.,The ultimate goal of this research is early detection of neurogeneration and the development of strategies to promote the survival of injured neurons in order to improve the quality of life for patients. Project will focus on identifying the pathogenic mechanisms underlying Alzheimer's disease and understanding the regulation of injury-induced neuronal cell death.,Advanced health technologies,Small Infrastructure Fund - Round 002 - 2004 - October,24-Feb-05,Ontario Research Fund - Research Infrastructure,The University of Western Ontario,London,"$260,006","$650,016","Stroke, Gene expression, apoptosis, neuronal dysfunction, Alzheimer's disease, biochemistry, lysosome subcellular fractionation, cell biology",Capital,Sean,Cregan
